x;X1977;X1978;X1979;X1980;X1981;X1982;X1983;X1984;X1985;X1986;X1987;X1988;X1989;X1990;X1991;X1992;X1993;X1994;X1995;X1996;X1997;X1998;X1999;X2000;X2001;X2002;X2003;X2004;X2005;X2006;X2007;X2008;X2009;X2010;X2011;X2012;X2013;X2014
19;0,002833102;0,003334734;0,002805313;0,002565866;0,002401633;0,002271344;0,0016035;0,001901065;0,002062397;0,001731824;0,001676379;0,001559712;0,001426192;0,001404884;0,001308789;0,00127434;0,001515836;0,001992159;0,002000473;0,00183991;0,001589626;0,001337881;0,001178777;0,001083494;0,001063025;0,000929959;0,000985406;0,000844249;0,000824586;0,000855876;0,000814745;0,000773626;0,000837022;0,000746917;0,000788334;0,001002942;0,000764427;0,000751458
20;0,002897444;0,003352035;0,003047144;0,003000292;0,002819103;0,002660122;0,001731916;0,001871258;0,001937405;0,001701044;0,001681864;0,001530799;0,001357173;0,001367177;0,001269836;0,001210451;0,001665337;0,002608655;0,002575632;0,002148851;0,00179886;0,001455537;0,001341322;0,001126246;0,001139181;0,000974951;0,001050478;0,0008937;0,000878315;0,000907949;0,000884423;0,000860902;0,000870449;0,000755141;0,000820338;0,000922121;0,000798183;0,000866463
21;0,002991591;0,003417462;0,003187866;0,003219768;0,003028585;0,002858906;0,001779951;0,001855507;0,001880681;0,00168826;0,00169914;0,00152861;0,00135007;0,001367983;0,001275466;0,001219115;0,001777529;0,002937137;0,002877169;0,002346894;0,001957935;0,001580717;0,001444487;0,001186192;0,00120894;0,001024449;0,001110563;0,000945245;0,000933031;0,000961811;0,000940806;0,000919807;0,00092381;0,000786759;0,000861698;0,000915141;0,000847454;0,000929686
22;0,003088734;0,003492751;0,003292767;0,003373609;0,0031738;0,002999093;0,001819758;0,0018514;0,001829693;0,001690608;0,001708195;0,00152778;0,001353601;0,001369635;0,001283737;0,001237896;0,001874756;0,003193537;0,003108494;0,002510939;0,002099662;0,001676414;0,001527655;0,001245184;0,001271664;0,001078423;0,001167298;0,000994798;0,000982602;0,001013332;0,000992106;0,000970882;0,000969752;0,000819979;0,000901782;0,000914065;0,000889344;0,000978035
23;0,00318768;0,003576383;0,003361;0,003460854;0,003253258;0,003078806;0,00184956;0,001859025;0,001789369;0,001708192;0,001708971;0,001530133;0,001369264;0,001373815;0,001296237;0,001268532;0,00195504;0,003368207;0,00326048;0,002635813;0,002220047;0,001742463;0,001588515;0,00130287;0,001326619;0,0011369;0,001220061;0,001041987;0,001027012;0,001062106;0,001037669;0,001013233;0,001008254;0,000854969;0,000940503;0,000921277;0,000923832;0,001010397
24;0,003287358;0,003666168;0,003395384;0,003487338;0,003271921;0,003101947;0,001869647;0,001878469;0,001764276;0,001741114;0,001701411;0,001537349;0,001397434;0,001381845;0,001314037;0,00131158;0,002017527;0,00345782;0,003330018;0,002718863;0,002316229;0,001778672;0,001626285;0,001358808;0,001373524;0,001199908;0,001268485;0,001086563;0,001066249;0,001107879;0,001077305;0,001046732;0,001039292;0,000891579;0,000977732;0,00093801;0,000950895;0,001026975
25;0,003385955;0,003779847;0,003274646;0,00321266;0,003024329;0,002889401;0,0018129;0,001852379;0,001723723;0,001741762;0,001646772;0,001546619;0,001475313;0,001405458;0,001353373;0,001404724;0,002052131;0,003310343;0,003176723;0,00272229;0,002396232;0,0018379;0,001621633;0,001426295;0,001408439;0,001282693;0,001300661;0,001121655;0,001114387;0,001142622;0,001093799;0,001054002;0,001077027;0,000936358;0,00101066;0,000995931;0,000987782;0,000996516
26;0,003490497;0,003891749;0,003302912;0,0032385;0,00302753;0,002822044;0,001843676;0,001818254;0,001751812;0,001732203;0,001597431;0,001569339;0,001513579;0,001411047;0,001371895;0,001457989;0,002084153;0,003292265;0,003139676;0,00273534;0,002437133;0,001917646;0,001623137;0,001472844;0,001441434;0,001362898;0,001350236;0,001167887;0,001166232;0,001189764;0,001130768;0,001077937;0,001119948;0,00097921;0,001051112;0,001021857;0,0010298;0,0009973
27;0,003587343;0,003967325;0,003361548;0,003328752;0,003080896;0,002867277;0,001896007;0,001852638;0,001815546;0,001771421;0,001618627;0,001602213;0,001549084;0,001429357;0,001398408;0,001508431;0,002105378;0,003258976;0,00308563;0,002723955;0,002449736;0,001963464;0,001613713;0,001512192;0,001469297;0,001414021;0,001392315;0,001207873;0,001205063;0,001230758;0,001165772;0,00110187;0,001153086;0,001012303;0,001083913;0,001045253;0,001057296;0,000999198
28;0,003676405;0,004006013;0,003456307;0,003493168;0,003195269;0,003026405;0,001971788;0,001956042;0,00191456;0,001859765;0,001710822;0,001645909;0,001581816;0,001460461;0,001432956;0,001555623;0,002118587;0,003219021;0,003023095;0,002692393;0,002436872;0,001975094;0,001596893;0,001544879;0,001493166;0,001435908;0,001426863;0,001241589;0,00123082;0,001265577;0,001198805;0,001126995;0,001176401;0,001035602;0,001109034;0,001066109;0,001070209;0,00100447
29;0,003757583;0,004007222;0,003590289;0,003735791;0,003377254;0,003300859;0,00207152;0,002129032;0,002046339;0,001997617;0,001874518;0,00170073;0,00161176;0,001504436;0,001475589;0,001599881;0,002127231;0,003179903;0,002959782;0,002645724;0,002403121;0,00195227;0,001576794;0,001572054;0,001514438;0,001428393;0,001453839;0,001269008;0,001243445;0,001294196;0,00122986;0,001154377;0,001189845;0,001049067;0,001126441;0,001084417;0,00106848;0,001015057
30;0,003829722;0,004009211;0,003805787;0,004152984;0,003653577;0,00349672;0,002226394;0,002296243;0,002280213;0,002126915;0,001976284;0,001774374;0,001608651;0,001531871;0,001504256;0,001626817;0,002097988;0,003157007;0,002902584;0,00255858;0,002284089;0,001910237;0,001513725;0,001575754;0,001524973;0,001405033;0,001481211;0,001292635;0,001240324;0,001309229;0,001249519;0,00118983;0,001178008;0,001048364;0,001136186;0,001083801;0,001049268;0,001030824
31;0,003908564;0,004036618;0,004004314;0,004512024;0,003966242;0,003618118;0,002360292;0,00241839;0,002439127;0,002224208;0,002031101;0,001848527;0,00160749;0,001550912;0,00152774;0,001657249;0,002121793;0,003102826;0,002857554;0,002509586;0,002250628;0,001891054;0,001515119;0,001589989;0,0015367;0,001401289;0,001513862;0,001320643;0,001246029;0,001328551;0,001270651;0,001212772;0,001172775;0,001054275;0,001151172;0,00108493;0,001039805;0,001057096
32;0,004003254;0,004063035;0,004224258;0,004901115;0,00433425;0,00386363;0,002502945;0,002551779;0,002591189;0,002336267;0,002180903;0,001930488;0,001656268;0,001595218;0,001572623;0,001711507;0,002165063;0,00309707;0,00282988;0,002473724;0,002238907;0,001900463;0,001540448;0,001625422;0,001567289;0,001421307;0,001546235;0,001354618;0,001275499;0,001368545;0,001309168;0,001249813;0,001205606;0,001081563;0,001177814;0,001114594;0,001056578;0,00109301
